Detection Result,Detection Details,Performance Stats,timestamp
"{""path"": "".gradio/cached_examples/31/Detection Result/448db37dd6dd3e013267/image.webp"", ""url"": ""/gradio_api/file=/private/var/folders/_t/bgphlqgn2_dcwg6h0ngwmtm40000gn/T/gradio/e9c57d778db54652eeea14331a2087776ecaaff0402a7d378df8e2b18d682a10/image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","[{""confidence"": 0.988624095916748, ""region"": {""x"": 41.39600694179535, ""y"": 36.069607734680176, ""w"": 27.36794650554657, ""h"": 40.85373878479004}, ""original_region"": {""x"": 211, ""y"": 184, ""w"": 140, ""h"": 209}, ""landmarks"": [[266.4883728027344, 266.2045593261719], [332.37799072265625, 268.3818359375], [313.2541198730469, 321.86785888671875], [269.0753173828125, 349.83056640625], [318.6307067871094, 350.84564208984375]], ""time_ms"": 31.49890899658203}]",Detected 1 faces in 31.67ms,2025-04-27 14:19:00.855611
"{""path"": "".gradio/cached_examples/31/Detection Result/dbf14101e07383d028d1/image.webp"", ""url"": ""/gradio_api/file=/private/var/folders/_t/bgphlqgn2_dcwg6h0ngwmtm40000gn/T/gradio/2732b91c58f265b2e5479cf17de259fddb9057078360f2cfc9943d12c89714e4/image.webp"", ""size"": null, ""orig_name"": ""image.webp"", ""mime_type"": null, ""is_stream"": false, ""meta"": {""_type"": ""gradio.FileData""}}","[{""confidence"": 0.9999719858169556, ""region"": {""x"": 41.360490339515856, ""y"": 27.44737145496391, ""w"": 5.022703296076642, ""h"": 11.287684747350147}, ""original_region"": {""x"": 226, ""y"": 93, ""w"": 27, ""h"": 38}, ""landmarks"": [[240.24807739257812, 109.00040435791016], [251.5880126953125, 107.71858215332031], [248.5829620361328, 117.91941833496094], [240.01431274414062, 123.66987609863281], [249.71563720703125, 122.72269439697266]], ""time_ms"": 68.06826591491699}]",Detected 1 faces in 68.24ms,2025-04-27 14:19:00.942865
